"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"User trying validCredentials","12339","validCredentials","All Test Suite","Tue Nov 12 00:24:15 BDT 2024","passed","Tue Nov 12 00:24:27 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithValidCredential"
"","10514","TestWithEmptyEmailAndPassword","All Test Suite","Tue Nov 12 00:25:06 BDT 2024","passed","Tue Nov 12 00:25:17 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithEmptyEmailAndPassword"
"","1790","TestPageUrl","All Test Suite","Tue Nov 12 00:26:22 BDT 2024","passed","Tue Nov 12 00:26:24 BDT 2024","TestCases.TestHomePage","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.TestHomePage","TestPageUrl"
"","10344","TestWithInvalidCredentials","All Test Suite","Tue Nov 12 00:26:06 BDT 2024","passed","Tue Nov 12 00:26:16 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithInvalidCredentials"
"","2574","TestPageTitle","All Test Suite","Tue Nov 12 00:26:25 BDT 2024","passed","Tue Nov 12 00:26:28 BDT 2024","TestCases.TestHomePage","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.TestHomePage","TestPageTitle"
"","1184","TestWithInvalidCredentials","All Test Suite","Tue Nov 12 00:25:52 BDT 2024","passed","Tue Nov 12 00:25:53 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithInvalidCredentials"
"","11222","TestWithValidEmailAndInvalidPassword","All Test Suite","Tue Nov 12 00:24:33 BDT 2024","passed","Tue Nov 12 00:24:44 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithValidEmailAndInvalidPassword"
"","1360","TestWithInvalidCredentials","All Test Suite","Tue Nov 12 00:25:58 BDT 2024","passed","Tue Nov 12 00:25:59 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithInvalidCredentials"
"","1105","TestWithInvalidCredentials","All Test Suite","Tue Nov 12 00:25:46 BDT 2024","passed","Tue Nov 12 00:25:47 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithInvalidCredentials"
"","10345","TestWithEmailAndEmptyPassword","All Test Suite","Tue Nov 12 00:25:22 BDT 2024","passed","Tue Nov 12 00:25:32 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithEmailAndEmptyPassword"
"","11155","TestWithInvalidEmailAndValidPassword","All Test Suite","Tue Nov 12 00:24:49 BDT 2024","passed","Tue Nov 12 00:25:00 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithInvalidEmailAndValidPassword"
"","201","TestWithInvalidCredentials","All Test Suite","Tue Nov 12 00:26:21 BDT 2024","failed","Tue Nov 12 00:26:21 BDT 2024","TestCases.LoginTest","D:/Rahul Personal/Web Automation/TestingProject2/AutomationProjectPOM/src/test/java/TestCases","TestCases.LoginTest","TestWithInvalidCredentials"
